Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0115","Barley","2019","2019","1000 SLC","504122","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0115","Barley","2020","2020","1000 SLC","439851","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0115","Barley","2016","2016","1000 SLC","318832","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0115","Barley","2017","2017","1000 SLC","324415","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0115","Barley","2018","2018","1000 SLC","254557","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0115","Barley","2019","2019","1000 SLC","318768","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0115","Barley","2020","2020","1000 SLC","290299","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0115","Barley","2016","2016","1000 US$","375665","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0115","Barley","2017","2017","1000 US$","506004","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0115","Barley","2018","2018","1000 US$","446585","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0115","Barley","2019","2019","1000 US$","564352","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0115","Barley","2020","2020","1000 US$","502396","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2016","2016","1000 US$","378421","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2017","2017","1000 US$","385047","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2018","2018","1000 US$","302134","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2019","2019","1000 US$","378345","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0115","Barley","2020","2020","1000 US$","344555","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01702","Broad beans and horse beans, dry","2016","2016","1000 Int. $","22603","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01702","Broad beans and horse beans, dry","2017","2017","1000 Int. $","29440","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01702","Broad beans and horse beans, dry","2018","2018","1000 Int. $","6673","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01702","Broad beans and horse beans, dry","2019","2019","1000 Int. $","12701","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01702","Broad beans and horse beans, dry","2020","2020","1000 Int. $","19216","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01243","Broad beans and horse beans, green","2016","2016","1000 Int. $","1","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01243","Broad beans and horse beans, green","2017","2017","1000 Int. $","1","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01212","Cabbages","2016","2016","1000 Int. $","5438","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01212","Cabbages","2017","2017","1000 Int. $","5590","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01212","Cabbages","2018","2018","1000 Int. $","5909","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01212","Cabbages","2019","2019","1000 Int. $","5730","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01212","Cabbages","2020","2020","1000 Int. $","5730","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01212","Cabbages","2016","2016","1000 SLC","8963","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01212","Cabbages","2017","2017","1000 SLC","9623","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01212","Cabbages","2018","2018","1000 SLC","12551","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01212","Cabbages","2019","2019","1000 SLC","11961","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01212","Cabbages","2020","2020","1000 SLC","9863","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01212","Cabbages","2016","2016","1000 SLC","8963","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01212","Cabbages","2017","2017","1000 SLC","9212","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01212","Cabbages","2018","2018","1000 SLC","9739","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01212","Cabbages","2019","2019","1000 SLC","9443","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01212","Cabbages","2020","2020","1000 SLC","9443","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01212","Cabbages","2016","2016","1000 US$","9914","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01212","Cabbages","2017","2017","1000 US$","10870","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01212","Cabbages","2018","2018","1000 US$","14823","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01212","Cabbages","2019","2019","1000 US$","13389","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01212","Cabbages","2020","2020","1000 US$","11265","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01212","Cabbages","2016","2016","1000 US$","10582","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01212","Cabbages","2017","2017","1000 US$","10877","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01212","Cabbages","2018","2018","1000 US$","11498","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01212","Cabbages","2019","2019","1000 US$","11148","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01212","Cabbages","2020","2020","1000 US$","11148","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01251","Carrots and turnips","2016","2016","1000 Int. $","19844","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01251","Carrots and turnips","2017","2017","1000 Int. $","14156","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01251","Carrots and turnips","2018","2018","1000 Int. $","13078","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01251","Carrots and turnips","2019","2019","1000 Int. $","14645","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01251","Carrots and turnips","2020","2020","1000 Int. $","14167","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01251","Carrots and turnips","2016","2016","1000 SLC","28720","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01251","Carrots and turnips","2017","2017","1000 SLC","20488","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01251","Carrots and turnips","2018","2018","1000 SLC","17982","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01251","Carrots and turnips","2019","2019","1000 SLC","25435","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01251","Carrots and turnips","2020","2020","1000 SLC","24605","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01251","Carrots and turnips","2016","2016","1000 SLC","29917","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01251","Carrots and turnips","2017","2017","1000 SLC","21342","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01251","Carrots and turnips","2018","2018","1000 SLC","19717","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01251","Carrots and turnips","2019","2019","1000 SLC","22079","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01251","Carrots and turnips","2020","2020","1000 SLC","21358","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2016","2016","1000 US$","31770","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2017","2017","1000 US$","23145","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2018","2018","1000 US$","21235","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2019","2019","1000 US$","28474","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2020","2020","1000 US$","28104","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01251","Carrots and turnips","2016","2016","1000 US$","35236","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01251","Carrots and turnips","2017","2017","1000 US$","25136","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01251","Carrots and turnips","2018","2018","1000 US$","23222","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01251","Carrots and turnips","2019","2019","1000 US$","26005","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01251","Carrots and turnips","2020","2020","1000 US$","25156","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01213","Cauliflowers and broccoli","2016","2016","1000 Int. $","5068","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01213","Cauliflowers and broccoli","2017","2017","1000 Int. $","4354","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01213","Cauliflowers and broccoli","2018","2018","1000 Int. $","4505","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01213","Cauliflowers and broccoli","2019","2019","1000 Int. $","4364","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01213","Cauliflowers and broccoli","2020","2020","1000 Int. $","4942","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01213","Cauliflowers and broccoli","2016","2016","1000 SLC","6480","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01213","Cauliflowers and broccoli","2017","2017","1000 SLC","5566","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01213","Cauliflowers and broccoli","2018","2018","1000 SLC","6682","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01213","Cauliflowers and broccoli","2019","2019","1000 SLC","6547","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","01213","Cauliflowers and broccoli","2020","2020","1000 SLC","7160","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01213","Cauliflowers and broccoli","2016","2016","1000 SLC","6480","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01213","Cauliflowers and broccoli","2017","2017","1000 SLC","5566","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01213","Cauliflowers and broccoli","2018","2018","1000 SLC","5760","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01213","Cauliflowers and broccoli","2019","2019","1000 SLC","5580","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","01213","Cauliflowers and broccoli","2020","2020","1000 SLC","6318","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2016","2016","1000 US$","7168","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2017","2017","1000 US$","6288","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2018","2018","1000 US$","7891","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2019","2019","1000 US$","7329","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2020","2020","1000 US$","8179","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01213","Cauliflowers and broccoli","2016","2016","1000 US$","7651","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01213","Cauliflowers and broccoli","2017","2017","1000 US$","6572","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01213","Cauliflowers and broccoli","2018","2018","1000 US$","6801","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01213","Cauliflowers and broccoli","2019","2019","1000 US$","6588","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","01213","Cauliflowers and broccoli","2020","2020","1000 US$","7459","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01199.90","Cereals n.e.c.","2016","2016","1000 Int. $","426","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01199.90","Cereals n.e.c.","2017","2017","1000 Int. $","430","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2016","2016","1000 Int. $","240","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","2017","1000 Int. $","228","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01232","Cucumbers and gherkins","2016","2016","1000 Int. $","599","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01232","Cucumbers and gherkins","2017","2017","1000 Int. $","617","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01232","Cucumbers and gherkins","2018","2018","1000 Int. $","617","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01232","Cucumbers and gherkins","2019","2019","1000 Int. $","647","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01232","Cucumbers and gherkins","2020","2020","1000 Int. $","692","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01351.01","Currants","2016","2016","1000 Int. $","339","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01351.01","Currants","2017","2017","1000 Int. $","345","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01351.01","Currants","2018","2018","1000 Int. $","308","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01351.01","Currants","2019","2019","1000 Int. $","231","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01351.01","Currants","2020","2020","1000 Int. $","154","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0231","Hen eggs in shell, fresh","2016","2016","1000 Int. $","64371","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0231","Hen eggs in shell, fresh","2017","2017","1000 Int. $","67232","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0231","Hen eggs in shell, fresh","2018","2018","1000 Int. $","67232","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0231","Hen eggs in shell, fresh","2019","2019","1000 Int. $","67232","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","0231","Hen eggs in shell, fresh","2020","2020","1000 Int. $","67232","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0231","Hen eggs in shell, fresh","2016","2016","1000 SLC","84806","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0231","Hen eggs in shell, fresh","2017","2017","1000 SLC","88342","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0231","Hen eggs in shell, fresh","2018","2018","1000 SLC","90741","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0231","Hen eggs in shell, fresh","2019","2019","1000 SLC","91411","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","56","Gross Production Value (current thousand SLC)","0231","Hen eggs in shell, fresh","2020","2020","1000 SLC","92289","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0231","Hen eggs in shell, fresh","2016","2016","1000 SLC","82640","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0231","Hen eggs in shell, fresh","2017","2017","1000 SLC","86313","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0231","Hen eggs in shell, fresh","2018","2018","1000 SLC","86313","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0231","Hen eggs in shell, fresh","2019","2019","1000 SLC","86313","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","55","Gross Production Value (constant 2014-2016 thousand SLC)","0231","Hen eggs in shell, fresh","2020","2020","1000 SLC","86313","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2016","2016","1000 US$","93809","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2017","2017","1000 US$","99798","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2018","2018","1000 US$","107161","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2019","2019","1000 US$","102332","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","57","Gross Production Value (current thousand US$)","0231","Hen eggs in shell, fresh","2020","2020","1000 US$","105413","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0231","Hen eggs in shell, fresh","2016","2016","1000 US$","97143","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0231","Hen eggs in shell, fresh","2017","2017","1000 US$","101460","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0231","Hen eggs in shell, fresh","2018","2018","1000 US$","101460","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0231","Hen eggs in shell, fresh","2019","2019","1000 US$","101460","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","58","Gross Production Value (constant 2014-2016 thousand US$)","0231","Hen eggs in shell, fresh","2020","2020","1000 US$","101460","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01659","Hop cones","2016","2016","1000 Int. $","238","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01659","Hop cones","2017","2017","1000 Int. $","238","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","21118.01i","Horse meat, fresh or chilled (indigenous)","2018","2018","1000 Int. $","10621","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","21118.01i","Horse meat, fresh or chilled (indigenous)","2019","2019","1000 Int. $","10644","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","21118.01i","Horse meat, fresh or chilled (indigenous)","2020","2020","1000 Int. $","10309","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01254","Leeks and other alliaceous vegetables","2016","2016","1000 Int. $","3597","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01254","Leeks and other alliaceous vegetables","2017","2017","1000 Int. $","2885","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01254","Leeks and other alliaceous vegetables","2018","2018","1000 Int. $","2556","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01254","Leeks and other alliaceous vegetables","2019","2019","1000 Int. $","2764","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01254","Leeks and other alliaceous vegetables","2020","2020","1000 Int. $","3200","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01214","Lettuce and chicory","2016","2016","1000 Int. $","3011","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01214","Lettuce and chicory","2017","2017","1000 Int. $","2465","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01214","Lettuce and chicory","2018","2018","1000 Int. $","2440","E","Estimated value"
"QV","Value of Agricultural Production","372","Ireland","152","Gross Production Value (constant 2014-2016 thousand I$)","01214","Lettuce and chicory","2019","2019","1000 Int. $","2250","E","Estimated value"
